store_id,store_code,store_name,channel,hc,region,province,mcp,isActive,createdAt,createdBy,updatedBy
52006839,1208,DMM_HCM_HMO - 30/10 Nguyen Anh Thu,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003816,1212,DMM_BDI_TSO - 275 Quang Trung,DMX,0,Central,Binh Dinh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70251843,1256,DMM_BRV_TTH - My Xuan 2,DMX,0,South,Ba Ria Vung Tau,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007730,1263,DMM_HNA_DTI - Hoa Mac,DMX,0,North,Ha Nam,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003580,1297,DMM_HPH_KTH - 19 Cam Xuan (Nui Doi),DMX,0,North,Hai Phong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243225,1346,DMM_BKA_CDO - Bang Lung (Cho Don),DMX,0,North,Bac Kan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243143,1347,DMM_TNG_TNG - 271 Quang Trung,DMX,0,North,Thai Nguyen,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52005791,1366,DMM_HBI_YTH - Hang Tram,DMX,0,North,Hoa Binh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52005833,1371,DMM_AGI_TBI - 474 Huu Nghi,DMX,0,Mekong,An Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003743,1391,DML_QNI_MCA - Hung Vuong,DMX,0,North,Quang Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008073,1419,DMM_NAN_QHO - Quy Hop,DMX,0,North,Nghe An,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004021,1704,DMM_BKA_BBE - Cho Ra,DMX,0,North,Bac Kan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003892,1706,DMM_LCA_MKH - 95 Giai Phong,DMX,0,North,Lao Cai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004160,1741,DMM_TQU_CHO - Vinh Loc,DMX,0,North,Tuyen Quang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003919,1765,DMM_YBA_TYE - Co Phuc,DMX,0,North,Yen Bai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004004,1771,DMM_BGI_LNG - Thi Tran Chu,DMX,0,North,Bac Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008110,1776,DMM_NTH_PRA - 671 Duong 21/8,DMX,0,South,Ninh Thuan,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004220,1804,DMM_TQU_SDU - Son Duong,DMX,0,North,Tuyen Quang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004593,1806,DML_BNI_TTH - Nga Tu Dong Coi,DMX,0,North,Bac Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004697,1833,DMM_BTH_TLI - 466 Tran Hung Dao,DMX,0,South,Binh Thuan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007014,1844,DMM_THO_NSO - Xuan Lam (Cho Truc),DMX,0,North,Thanh Hoa,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004749,1851,DMM_GLA_CPU - Nhon Hoa,DMX,0,Central,Gia Lai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004128,1904,DMM_HNO_HDU - Cat Que,DMX,0,North,Ha Noi,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004155,1941,DMM_HYE_PCU - Tran Cao,DMX,0,North,Hung Yen,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243313,1951,DMM_KGI_CTH - Binh An (Tac Cau),DMX,0,Mekong,Kien Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70235544,1959,DMS_GLA_IGR - 321 Hung Vuong,DMX,0,Central,Gia Lai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006952,1980,DMM_DON_BHO - Ben Go (An Hoa),DMX,0,South,Dong Nai,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004198,1994,DMM_HNO_SSO - Pho Ny,DMX,0,North,Ha Noi,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
